TIMESTAMP,open,high,low,close
2018-02-01 00:00:00,1.4199350000000002,1.4199350000000002,1.419875,1.41991
2018-02-01 00:01:00,1.41992,1.420015,1.41986,1.420015
2018-02-01 00:02:00,1.420015,1.4201,1.419865,1.419905
2018-02-01 00:03:00,1.419905,1.42025,1.419905,1.420135
2018-02-01 00:04:00,1.420135,1.420545,1.420135,1.420375
2018-02-01 00:05:00,1.420375,1.420445,1.42037,1.420385
2018-02-01 00:06:00,1.420385,1.420405,1.42033,1.420355
2018-02-01 00:07:00,1.42035,1.42047,1.420245,1.42045
2018-02-01 00:08:00,1.42045,1.42074,1.42003,1.42047
2018-02-01 00:09:00,1.4204750000000002,1.4205,1.42033,1.420465
2018-02-01 00:10:00,1.420465,1.420465,1.420275,1.420425
2018-02-01 00:11:00,1.42042,1.420655,1.420335,1.42064
2018-02-01 00:12:00,1.420645,1.420725,1.42051,1.420645
2018-02-01 00:13:00,1.42066,1.420725,1.42055,1.420675
2018-02-01 00:14:00,1.420675,1.4207649999999998,1.42059,1.4207649999999998
2018-02-01 00:15:00,1.42077,1.42136,1.42077,1.42118
2018-02-01 00:16:00,1.421185,1.421205,1.420965,1.421135
2018-02-01 00:17:00,1.42113,1.421135,1.4208349999999998,1.42086
2018-02-01 00:18:00,1.420855,1.420935,1.420845,1.420855
2018-02-01 00:19:00,1.420855,1.42095,1.42084,1.420935
2018-02-01 00:20:00,1.42094,1.421155,1.4209200000000002,1.421065
2018-02-01 00:21:00,1.42107,1.42115,1.421015,1.421125
2018-02-01 00:22:00,1.42113,1.42115,1.420955,1.42103
2018-02-01 00:23:00,1.42103,1.42103,1.42078,1.42086
2018-02-01 00:24:00,1.42086,1.420865,1.42073,1.420745
2018-02-01 00:25:00,1.420745,1.420905,1.420745,1.420855
2018-02-01 00:26:00,1.4208500000000002,1.4208500000000002,1.42044,1.420455
2018-02-01 00:27:00,1.42045,1.42046,1.42029,1.4203899999999998
2018-02-01 00:28:00,1.420385,1.420415,1.42029,1.420335
2018-02-01 00:29:00,1.42034,1.42049,1.42034,1.4204599999999998
2018-02-01 00:30:00,1.4204599999999998,1.42052,1.4204599999999998,1.4204949999999998
2018-02-01 00:31:00,1.42049,1.420505,1.420255,1.420275
2018-02-01 00:32:00,1.42028,1.420515,1.42026,1.4205100000000002
2018-02-01 00:33:00,1.420505,1.420605,1.42046,1.4204750000000002
2018-02-01 00:34:00,1.4204750000000002,1.42048,1.42038,1.42047
2018-02-01 00:35:00,1.420465,1.420675,1.42044,1.42066
2018-02-01 00:36:00,1.42066,1.420695,1.420535,1.420565
2018-02-01 00:37:00,1.420565,1.420675,1.420565,1.420655
